"","year","school","conference","division","Jersey","Player","Yr","Pos","GP","App","GS","ERA","IP","H","R","ER","BB","SO","SHO","BF","P-OAB","2B-A","3B-A","Bk","HR-A","WP","HB","IBB","Inh Run","Inh Run Score","SHA","SFA","Pitches","GO","FO","W","L","SV","KL","teamid","conference_id","player_id","player_url"
"1","2017","Cornell","Ivy League",1,"8","Padulo, Frankie","Sr","INF",38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,865,"1546995","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1546995"
"2","2017","Cornell","Ivy League",1,"15","Wagner, Tommy","Sr","INF",38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,865,"1547005","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1547005"
"3","2017","Cornell","Ivy League",1,"12","Krainz, Ryan","Jr","INF",38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,865,"1884383","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1884383"
"4","2017","Cornell","Ivy League",1,"35","Baur, Trey","Jr","INF",35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,865,"1652419","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1652419"
"5","2017","Cornell","Ivy League",1,"40","Le Dorze, Pierre","Jr","OF",32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,865,"1652421","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1652421"
"6","2017","Cornell","Ivy League",1,"36","Rutherford, Cole","Sr","1B",31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,865,"1779086","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1779086"
"7","2017","Cornell","Ivy League",1,"2","Bitar, Ellis","Jr","C",29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,865,"1652397","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1652397"
"8","2017","Cornell","Ivy League",1,"6","Arndt, Josh","So","INF",28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,865,"1779078","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1779078"
"9","2017","Cornell","Ivy League",1,"5","Wickham, Dale","Jr","OF",25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,865,"1652396","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1652396"
"10","2017","Cornell","Ivy League",1,"33","Simoneit, Will","So","C",24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,865,"1779085","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1779085"
"11","2017","Cornell","Ivy League",1,"27","Gallagher, Kyle","Jr","OF",20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,865,"1884386","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1884386"
"12","2017","Cornell","Ivy League",1,"19","Lepper, Kaleb","Fr","OF",19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,865,"1884384","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1884384"
"13","2017","Cornell","Ivy League",1,"39","Lannoo, Peter","Sr","P",17,17,NA,3.86,21,20,9,9,6,16,NA,85,77,1,1,NA,1,NA,1,NA,9,NA,1,NA,184,19,21,NA,NA,8,3,167,865,"1652420","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1652420"
"14","2017","Cornell","Ivy League",1,"23","Flynn, Jamie","Sr","P",13,13,NA,2.25,16,14,5,4,9,14,NA,69,56,2,1,NA,NA,2,2,NA,11,3,1,NA,135,17,12,1,NA,NA,6,167,865,"1779083","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1779083"
"15","2017","Cornell","Ivy League",1,"32","Bemiss, Jeb","Fr","P",13,13,NA,4.76,22.2,29,14,12,12,12,NA,107,90,9,1,NA,5,NA,1,1,5,2,2,2,291,19,33,1,2,1,6,167,865,"1884390","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1884390"
"16","2017","Cornell","Ivy League",1,"37","Horton, Matt","Sr","P",13,13,NA,4.85,13,12,7,7,10,14,NA,61,50,5,NA,NA,NA,1,1,NA,8,NA,NA,NA,107,8,16,2,1,NA,1,167,865,"1884391","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1884391"
"17","2017","Cornell","Ivy League",1,"4","Natoli, John","Fr","P",11,11,NA,6,9,12,6,6,2,5,NA,41,37,3,NA,NA,1,1,1,NA,5,1,NA,1,81,12,9,NA,NA,1,1,167,865,"1884378","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1884378"
"18","2017","Cornell","Ivy League",1,"7","Soltis, Scott","Sr","P",10,10,4,4.88,27.2,30,18,15,10,13,NA,124,110,5,1,NA,4,NA,2,NA,6,3,1,1,170,23,43,3,1,NA,6,167,865,"1546994","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1546994"
"19","2017","Cornell","Ivy League",1,"29","Willittes, Tim","Sr","P",10,10,9,6.12,50,64,40,34,18,34,NA,233,208,12,NA,2,7,3,2,NA,NA,NA,3,2,481,61,51,4,3,NA,15,167,865,"1547000","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1547000"
"20","2017","Cornell","Ivy League",1,"22","Balestrieri, Paul","Sr","P",9,9,9,2.18,57.2,49,23,14,15,36,NA,243,218,4,2,NA,2,2,6,NA,NA,NA,1,3,402,95,28,5,4,NA,13,167,865,"1546998","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1546998"
"21","2017","Cornell","Ivy League",1,"30","Collins, Matt","Fr","INF",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,865,"1884388","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1884388"
"22","2017","Cornell","Ivy League",1,"26","Lewis, Justin","Jr","P",9,9,8,5.32,45.2,49,32,27,14,45,1,209,183,10,1,NA,4,1,6,NA,NA,NA,4,2,297,56,33,3,2,NA,11,167,865,"1652395","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1652395"
