"","year","school","conference","division","Jersey","Player","Yr","Pos","GP","App","GS","ERA","IP","H","R","ER","BB","SO","SHO","BF","P-OAB","2B-A","3B-A","Bk","HR-A","WP","HB","IBB","Inh Run","Inh Run Score","SHA","SFA","Pitches","GO","FO","W","L","SV","KL","teamid","conference_id","player_id","player_url"
"1","2015","Cornell","Ivy League",1,"2","Tatum, Kevin","Sr","OF",40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,865,"1324528","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12080&stats_player_seq=1324528"
"2","2015","Cornell","Ivy League",1,"17","Karl, Ryan","Sr","OF",40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,865,"1547003","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12080&stats_player_seq=1547003"
"3","2015","Cornell","Ivy League",1,"18","Scorza, Spencer","Sr","INF",40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,865,"1547004","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12080&stats_player_seq=1547004"
"4","2015","Cornell","Ivy League",1,"38","Morris, Dan","Sr","INF",37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,865,"1439156","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12080&stats_player_seq=1439156"
"5","2015","Cornell","Ivy League",1,"8","Padulo, Frankie","So","INF",36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,865,"1546995","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12080&stats_player_seq=1546995"
"6","2015","Cornell","Ivy League",1,"27","Winawer, Jordan","Jr","OF",33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,865,"1439151","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12080&stats_player_seq=1439151"
"7","2015","Cornell","Ivy League",1,"15","Wagner, Tommy","So","INF",28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,865,"1547005","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12080&stats_player_seq=1547005"
"8","2015","Cornell","Ivy League",1,"19","Wickham, Dale","Fr","INF",26,1,NA,13.5,0.2,3,1,1,1,NA,NA,5,4,NA,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,1,NA,NA,NA,NA,167,865,"1652396","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12080&stats_player_seq=1652396"
"9","2015","Cornell","Ivy League",1,"6","Whetsel, JD","Sr","OF",24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,865,"1324529","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12080&stats_player_seq=1324529"
"10","2015","Cornell","Ivy League",1,"4","Hall, Matt","Sr","C",22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,865,"1329458","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12080&stats_player_seq=1329458"
"11","2015","Cornell","Ivy League",1,"24","Bitar, Ellis","Fr","C",21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,865,"1652397","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12080&stats_player_seq=1652397"
"12","2015","Cornell","Ivy League",1,"5","Lowell, Eliot","Jr","INF",20,1,NA,27,2,4,6,6,2,1,NA,14,11,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,3,2,NA,NA,NA,NA,167,865,"1439148","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12080&stats_player_seq=1439148"
"13","2015","Cornell","Ivy League",1,"3","Smith, Jamie","So","C",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,865,"1546996","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12080&stats_player_seq=1546996"
