"","year","school","conference","division","Jersey","Player","Yr","Pos","GP","App","GS","ERA","IP","H","R","ER","BB","SO","SHO","BF","P-OAB","2B-A","3B-A","Bk","HR-A","WP","HB","IBB","Inh Run","Inh Run Score","SHA","SFA","Pitches","GO","FO","W","L","SV","KL","teamid","conference_id","player_id","player_url"
"1","2016","Cornell","Ivy League",1,"19","Wickham, Dale","So","OF",38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,865,"1652396","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1652396"
"2","2016","Cornell","Ivy League",1,"30","Price, C.J.","Jr","C",37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,865,"1779087","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1779087"
"3","2016","Cornell","Ivy League",1,"36","Rutherford, Cole","Jr","1B",37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,865,"1779086","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1779086"
"4","2016","Cornell","Ivy League",1,"8","Padulo, Frankie","Jr","INF",36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,865,"1546995","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1546995"
"5","2016","Cornell","Ivy League",1,"2","Bitar, Ellis","So","C",36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,865,"1652397","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1652397"
"6","2016","Cornell","Ivy League",1,"27","Winawer, Jordan","Sr","OF",33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,865,"1439151","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1439151"
"7","2016","Cornell","Ivy League",1,"5","Lowell, Eliot","Sr","INF",30,3,NA,16.88,2.2,4,5,5,2,2,NA,14,11,1,NA,NA,1,1,1,NA,3,NA,NA,NA,43,3,2,NA,NA,NA,NA,167,865,"1439148","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1439148"
"8","2016","Cornell","Ivy League",1,"6","Arndt, Josh","Fr","INF",28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,865,"1779078","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1779078"
"9","2016","Cornell","Ivy League",1,"32","Fraser, Mark","Fr","1B",26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,865,"1779084","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1779084"
"10","2016","Cornell","Ivy League",1,"15","Wagner, Tommy","Jr","INF",23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,865,"1547005","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1547005"
"11","2016","Cornell","Ivy League",1,"34","Morris, Parker","Fr","OF",20,2,NA,13.5,0.2,2,1,1,4,1,NA,8,4,NA,NA,NA,NA,3,NA,NA,1,NA,NA,NA,27,NA,1,NA,NA,NA,NA,167,865,"1779081","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1779081"
"12","2016","Cornell","Ivy League",1,"25","Weston, Jacob","Jr","OF",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,865,"1546999","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1546999"
"13","2016","Cornell","Ivy League",1,"23","Flynn, Jamie","Jr","P",15,15,NA,6.5,18,20,15,13,8,23,NA,89,74,3,2,NA,1,7,6,1,15,4,NA,1,74,16,13,NA,NA,NA,5,167,865,"1779083","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1779083"
"14","2016","Cornell","Ivy League",1,"26","Lewis, Justin","So","P",14,14,4,3.63,39.2,45,17,16,21,29,NA,181,155,7,2,NA,2,6,4,NA,9,1,NA,NA,54,55,25,2,1,3,9,167,865,"1652395","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1652395"
"15","2016","Cornell","Ivy League",1,"7","Soltis, Scott","Jr","P",13,13,2,8.35,18.1,26,20,17,2,7,NA,86,81,5,NA,NA,3,3,1,NA,14,8,1,1,99,29,17,NA,5,NA,2,167,865,"1546994","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1546994"
"16","2016","Cornell","Ivy League",1,"29","Willittes, Tim","Jr","P",13,13,9,7.46,44.2,61,40,37,16,40,NA,215,186,16,5,NA,4,8,8,NA,2,2,2,3,198,32,55,2,5,1,12,167,865,"1547000","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1547000"
"17","2016","Cornell","Ivy League",1,"9","Tutun, Griffin","So","INF",13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,865,"1652393","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1652393"
"18","2016","Cornell","Ivy League",1,"28","Byrne, Michael","Sr","P",12,12,5,4,36,30,18,16,26,28,NA,163,129,8,NA,NA,NA,6,4,NA,7,4,3,1,115,42,27,4,2,NA,8,167,865,"1439152","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1439152"
"19","2016","Cornell","Ivy League",1,"3","Smith, Jamie","Jr","OF",12,7,NA,7.36,7.1,9,6,6,6,7,NA,39,32,5,NA,NA,NA,2,1,NA,12,4,NA,NA,NA,2,13,NA,NA,NA,3,167,865,"1546996","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1546996"
"20","2016","Cornell","Ivy League",1,"13","Saks, Adam","Fr","P",11,11,NA,9.45,13.1,16,16,14,7,10,NA,66,55,4,NA,NA,1,2,3,NA,4,2,NA,1,40,12,15,NA,NA,NA,4,167,865,"1779079","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1779079"
"21","2016","Cornell","Ivy League",1,"20","Balestrieri, Paul","Jr","P",11,11,9,5.51,49,53,35,30,22,35,NA,222,192,8,3,1,1,6,1,NA,4,1,5,1,207,68,34,2,6,NA,11,167,865,"1546998","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1546998"
"22","2016","Cornell","Ivy League",1,"12","Veenema, Ryne","Jr","P",10,10,NA,13.5,4,9,6,6,5,3,NA,28,19,2,2,NA,NA,2,3,NA,9,5,NA,1,8,2,6,NA,NA,NA,2,167,865,"1546997","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1546997"
"23","2016","Cornell","Ivy League",1,"39","Lannoo, Peter","Jr","P",10,10,7,5.15,43.2,54,28,25,12,25,NA,196,176,13,1,NA,1,6,6,NA,4,1,NA,2,71,58,38,3,3,1,7,167,865,"1652420","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1652420"
"24","2016","Cornell","Ivy League",1,"11","Wahl, Austin","Jr","P",8,8,1,5.27,13.2,11,9,8,11,6,NA,69,49,5,NA,1,NA,2,5,NA,3,1,3,NA,98,16,18,NA,1,1,NA,167,865,"1783016","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1783016"
"25","2016","Cornell","Ivy League",1,"16","Arnold, Austin","Fr","P",8,8,NA,2.08,4.1,5,1,1,5,3,NA,23,16,NA,NA,NA,1,NA,NA,NA,11,5,NA,2,9,1,9,NA,NA,NA,1,167,865,"1779080","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1779080"
"26","2016","Cornell","Ivy League",1,"35","Baur, Trey","So","INF",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,865,"1652419","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1652419"
