"","player_names","swing_pct","chase_pct"
"1","Alonso",0.75,NA
"2","Apostle",0.571428571428571,0
"3","Binnie",0.583333333333333,0.333333333333333
"4","Carnegie",0.294117647058824,0.0909090909090909
"5","Collins",0.111111111111111,0
"6","Diaz",0.428571428571429,0
"7","Flematti",0.454545454545455,0
"8","Garza",0.375,0
"9","Hollerbach",0.545454545454545,0.2
"10","Kaplan",0.764705882352941,0.2
"11","L Charles",0.444444444444444,0.25
"12","Lepper",0.454545454545455,0.25
"13","Matton",0.294117647058824,0
"14","Rodriguez",0.5,0
"15","Ross",0.4,0
"16","Russell",0.555555555555556,0.25
"17","Steigerwald",0.333333333333333,0.166666666666667
